Movie_ID,Name,Date,Rate,Votes,Genre,Duration,Type,Nudity,Violence,Profanity,Alcohol,Frightening
972,The Texas Chainsaw Massacre,2003,6.2,"135,560","Crime, Horror",98 ,Film,Mild,Severe,Severe,Moderate,Severe
973,Lewis,2003,8.0,"11,826","Crime, Drama, Mystery",90 ,Series,Moderate,Mild,None,Mild,Mild
974,Merlin,2003,7.9,"77,192","Adventure, Drama, Fantasy",45 ,Series,None,Mild,None,Mild,Mild
975,The Woman in the Window,2021,5.7,"63,070","Crime, Drama, Mystery",100 ,Film,None,Moderate,Moderate,Moderate,Moderate
976,XMen,2000,7.4,"589,260","Action, Adventure, Sci-Fi",104 ,Film,Mild,Moderate,Mild,Mild,Moderate
977,Signs,2002,6.7,"349,098","Drama, Mystery, Sci-Fi",106 ,Film,None,Moderate,Mild,Mild,Moderate
978,Gravity Falls,2002,8.9,"86,333","Animation, Action, Adventure",23 ,Series,None,Mild,Mild,None,Moderate
979,ScoobyDoo,2002,5.2,"105,533","Adventure, Comedy, Family",89 ,Film,Mild,Mild,Mild,Mild,Mild
980,The Tender Bar,2021,7.4,76,Drama,104 ,Film,No Rate,No Rate,No Rate,No Rate,No Rate
981,Sin City,2005,8.0,"750,738","Crime, Thriller",124 ,Film,Moderate,Severe,Moderate,Moderate,Severe
982,Fury,2014,7.6,"451,968","Action, Drama, War",134 ,Film,Mild,Severe,Severe,Mild,Severe
983,Hagane no renkinjutsushi,2014,9.1,"140,390","Animation, Action, Adventure",24 ,Series,Mild,Severe,Mild,Mild,Severe
984,A Nightmare on Elm Street Part 2 Freddys Revenge,1985,5.5,"65,363",Horror,87 ,Film,Mild,Severe,Moderate,Mild,Moderate
985,Batman v Superman Dawn of Justice,2016,6.4,"665,851","Action, Adventure, Sci-Fi",152 ,Film,Mild,Moderate,Moderate,Mild,Moderate
986,The Lord of the Rings The Two Towers,2002,8.7,"1,550,497","Action, Adventure, Drama",179 ,Film,None,Moderate,None,Mild,Moderate
987,JoJo no kimyôna bôken,2016,8.4,"14,660","Animation, Action, Adventure",30 ,Series,Moderate,Severe,Moderate,Moderate,Severe
988,Oblivion,2013,7.0,"502,671","Action, Adventure, Sci-Fi",124 ,Film,Mild,Moderate,Mild,Mild,Mild
989,The League,2013,8.2,"45,879","Comedy, Sport",22 ,Series,Moderate,Mild,Moderate,Moderate,None
990,Ich bin dein Mensch,2021,7.2,"1,528","Comedy, Romance, Sci-Fi",108 ,Film,Moderate,No Rate,Moderate,No Rate,No Rate
991,QForce,2021,6.3,"3,527","Animation, Action, Adventure",30 ,Series,Severe,Mild,Severe,Mild,None
992,That 80s Show,2002,4.8,"2,114",Comedy,30 ,Series,Moderate,None,Mild,Moderate,No Rate
993,The Tudors,2002,8.1,"71,362","Drama, History, Romance",60 ,Series,Severe,Severe,Moderate,Mild,Moderate
994,Skins,2002,8.2,"78,539",Drama,46 ,Series,Severe,Moderate,Severe,Severe,Moderate
